Id,SalePrice
1461,109998.164
1462,136212.67
1463,184623.27
1464,190226.9
1465,194064.25
1466,173013.47
1467,173382.45
1468,161950.61
1469,187662.92
1470,124748.4
1471,168631.38
1472,96004.305
1473,93494.586
1474,138111.33
1475,103003.65
1476,363638.03
1477,252520.62
1478,285538.72
1479,303276.2
1480,472974.44
1481,325588.34
1482,204871.28
1483,176581.42
1484,162117.73
1485,178890.39
1486,187395.9
1487,338602.53
1488,229087.23
1489,193752.84
1490,245913.98
1491,193942.67
1492,91540.336
1493,184163.75
1494,300057.1
1495,278509.0
1496,245815.6
1497,173883.38
1498,171989.27
1499,162054.61
1500,158371.23
1501,185363.45
1502,143270.81
1503,298861.3
1504,241854.12
1505,226610.2
1506,186248.47
1507,242451.94
1508,193759.08
1509,158086.39
1510,140518.45
1511,151202.25
1512,167178.58
1513,157950.83
1514,153397.7
1515,184155.52
1516,147325.77
1517,160053.89
1518,117597.46
1519,214183.77
1520,123403.32
1521,128841.41
1522,171376.48
1523,109055.07
1524,118671.35
1525,114993.45
1526,111203.234
1527,108097.05
1528,125347.164
1529,150099.73
1530,191129.36
1531,119500.87
1532,91198.414
1533,143467.42
1534,118174.195
1535,136471.64
1536,98359.16
1537,55998.777
1538,169819.89
1539,242739.08
1540,113448.76
1541,139771.38
1542,135567.14
1543,199653.56
1544,83008.96
1545,118809.586
1546,137208.23
1547,126926.13
1548,140319.06
1549,115545.805
1550,139307.92
1551,99751.01
1552,142783.61
1553,141830.9
1554,113473.695
1555,149368.36
1556,72983.99
1557,112173.49
1558,103967.74
1559,73201.73
1560,117690.586
1561,124417.52
1562,124236.36
1563,119806.63
1564,153447.39
1565,144712.55
1566,250863.7
1567,75282.484
1568,226886.55
1569,119180.71
1570,127773.1
1571,89804.33
1572,137191.52
1573,228390.73
1574,125776.02
1575,225712.02
1576,262572.72
1577,182446.11
1578,152058.64
1579,138824.64
1580,191208.95
1581,152408.33
1582,126948.555
1583,274773.4
1584,218018.81
1585,137896.78
1586,67860.52
1587,114200.85
1588,150218.72
1589,104931.72
1590,127798.766
1591,82363.164
1592,118338.22
1593,124780.71
1594,135385.11
1595,109803.445
1596,207099.3
1597,188525.45
1598,215072.28
1599,170580.78
1600,154255.42
1601,59167.355
1602,117656.945
1603,62869.46
1604,296680.6
1605,230402.83
1606,148335.72
1607,155005.16
1608,208526.78
1609,178602.28
1610,151532.11
1611,128044.77
1612,169889.27
1613,161435.27
1614,119026.28
1615,86831.2
1616,72177.586
1617,86254.445
1618,125931.35
1619,139680.45
1620,163645.33
1621,131256.73
1622,135061.27
1623,281421.06
1624,195903.39
1625,117098.91
1626,155959.11
1627,189464.92
1628,277950.0
1629,179253.2
1630,352603.4
1631,226702.77
1632,233888.45
1633,167353.86
1634,185353.0
1635,172253.58
1636,151921.4
1637,190283.39
1638,189937.62
1639,181750.77
1640,237317.61
1641,178753.95
1642,253643.8
1643,220972.02
1644,237177.16
1645,194306.61
1646,154333.84
1647,159534.89
1648,129620.29
1649,140516.19
1650,119501.54
1651,113885.03
1652,96250.15
1653,97271.57
1654,141969.0
1655,124523.29
1656,137263.67
1657,142771.45
1658,140915.27
1659,120220.945
1660,150930.67
1661,407997.03
1662,375303.1
1663,371612.22
1664,486594.97
1665,304424.72
1666,321215.12
1667,373997.0
1668,363758.84
1669,325315.84
1670,356389.56
1671,254511.86
1672,419506.78
1673,297367.06
1674,240934.33
1675,192605.53
1676,192429.14
1677,210995.64
1678,471669.6
1679,401590.16
1680,315248.1
1681,241999.66
1682,321979.0
1683,189097.48
1684,170374.47
1685,163884.53
1686,162417.73
1687,155551.33
1688,182857.67
1689,189555.3
1690,189104.08
1691,177164.28
1692,254867.81
1693,167376.48
1694,179839.47
1695,166307.75
1696,253630.05
1697,169681.45
1698,341508.1
1699,354054.7
1700,258569.88
1701,269525.28
1702,227686.73
1703,224361.48
1704,268913.22
1705,235042.86
1706,331375.78
1707,216694.48
1708,205630.45
1709,256519.44
1710,224346.38
1711,270860.6
1712,252850.69
1713,280666.62
1714,221761.38
1715,206543.62
1716,177330.44
1717,168853.05
1718,135620.78
1719,217503.83
1720,237863.73
1721,149748.5
1722,116836.58
1723,150951.53
1724,206506.23
1725,234843.28
1726,184082.95
1727,153608.14
1728,158393.88
1729,167940.92
1730,139190.98
1731,116888.805
1732,121692.89
1733,113252.12
1734,127506.94
1735,112624.016
1736,104250.805
1737,352775.78
1738,277278.6
1739,255638.39
1740,202525.81
1741,181781.17
1742,176663.53
1743,172918.45
1744,381048.6
1745,213088.61
1746,191375.08
1747,202332.28
1748,218839.45
1749,139208.88
1750,126401.68
1751,227751.55
1752,113983.11
1753,143957.34
1754,193634.88
1755,167135.08
1756,129625.2
1757,121349.77
1758,145203.14
1759,152480.75
1760,160911.98
1761,141659.78
1762,183969.12
1763,173897.38
1764,115859.414
1765,149483.55
1766,181784.89
1767,208464.44
1768,138228.8
1769,161606.42
1770,143410.78
1771,121483.45
1772,126213.445
1773,128840.84
1774,133121.58
1775,140548.64
1776,129716.01
1777,111481.87
1778,132357.3
1779,121534.97
1780,162936.45
1781,125883.09
1782,82707.62
1783,138764.88
1784,100971.41
1785,123449.375
1786,136922.42
1787,156902.98
1788,55791.004
1789,96384.71
1790,82120.88
1791,180306.03
1792,156211.34
1793,124338.055
1794,147129.52
1795,130887.19
1796,121118.9
1797,120565.414
1798,119122.99
1799,111058.21
1800,130654.37
1801,119142.836
1802,129698.695
1803,150897.5
1804,134651.7
1805,134168.44
1806,117712.164
1807,138383.89
1808,117612.336
1809,119564.19
1810,134411.42
1811,101582.07
1812,100690.85
1813,125626.47
1814,99065.62
1815,52249.34
1816,90538.77
1817,104452.086
1818,156134.9
1819,120283.05
1820,38600.887
1821,108396.086
1822,158034.17
1823,45262.887
1824,133257.55
1825,141904.8
1826,101016.57
1827,108506.54
1828,138758.73
1829,127877.445
1830,150221.47
1831,147265.08
1832,64610.574
1833,152020.02
1834,108952.695
1835,100707.836
1836,120342.68
1837,83637.65
1838,119351.53
1839,99279.63
1840,150293.92
1841,135471.25
1842,86484.945
1843,130312.02
1844,138945.23
1845,143598.8
1846,147989.45
1847,158566.61
1848,42675.7
1849,102355.87
1850,109577.06
1851,141719.89
1852,120947.484
1853,120934.875
1854,156795.11
1855,147414.83
1856,230682.03
1857,125117.95
1858,129392.21
1859,105696.39
1860,140203.08
1861,108373.9
1862,302074.78
1863,278122.9
1864,278146.56
1865,357493.62
1866,332013.6
1867,216955.12
1868,274571.56
1869,200910.02
1870,223436.05
1871,260345.2
1872,166320.06
1873,247424.92
1874,143496.95
1875,181418.83
1876,200294.52
1877,208311.7
1878,208321.36
1879,131401.2
1880,133144.69
1881,246575.98
1882,235061.8
1883,184524.45
1884,201352.73
1885,216274.61
1886,274360.34
1887,211445.5
1888,257869.67
1889,167561.11
1890,102343.555
1891,120024.164
1892,92449.07
1893,125249.42
1894,116837.664
1895,127069.79
1896,122953.82
1897,124369.56
1898,105180.24
1899,161665.75
1900,153179.36
1901,179551.05
1902,154441.12
1903,217315.1
1904,151074.36
1905,187908.83
1906,150143.86
1907,184131.48
1908,99400.01
1909,127594.12
1910,117112.11
1911,216643.45
1912,332433.2
1913,141030.83
1914,55500.41
1915,356275.6
1916,55573.082
1917,227549.95
1918,137347.98
1919,155729.05
1920,157314.69
1921,377933.16
1922,334496.22
1923,242104.83
1924,213319.28
1925,210196.66
1926,380759.84
1927,125359.63
1928,153058.92
1929,118312.9
1930,125086.62
1931,119030.35
1932,126028.23
